map_name,scen_num,num_agents,solver,solved,soc,lb_soc,makespan,lb_makespan,comp_time
random-32-32-20.map,24,10,PIBT,1,174,174,37,37,0
random-32-32-20.map,24,20,PIBT,1,416,409,56,56,0
random-32-32-20.map,24,30,PIBT,1,603,586,56,56,0
random-32-32-20.map,24,40,PIBT,1,925,840,56,56,0
random-32-32-20.map,24,50,PIBT,1,1271,1076,58,56,1
random-32-32-20.map,24,60,PIBT,1,1526,1285,56,56,1
random-32-32-20.map,24,70,PIBT,1,1796,1460,58,56,1
random-32-32-20.map,24,80,PIBT,1,2136,1639,56,56,1
random-32-32-20.map,24,90,PIBT,1,2442,1859,56,56,2
random-32-32-20.map,24,100,PIBT,1,2831,2053,56,56,2
random-32-32-20.map,24,110,PIBT,1,2996,2230,56,56,2
random-32-32-20.map,24,120,PIBT,0,5419,2479,1000,56,14
random-32-32-20.map,24,130,PIBT,1,4044,2712,66,56,3
random-32-32-20.map,24,140,PIBT,1,4467,2957,64,56,3
random-32-32-20.map,24,150,PIBT,1,4931,3136,58,56,3
random-32-32-20.map,24,160,PIBT,0,7554,3374,1000,56,20
random-32-32-20.map,24,170,PIBT,0,8221,3648,1000,56,19
random-32-32-20.map,24,180,PIBT,1,6644,3874,88,56,3
random-32-32-20.map,24,190,PIBT,1,7359,4068,67,56,3
random-32-32-20.map,24,200,PIBT,0,12306,4324,1000,56,18
random-32-32-20.map,24,210,PIBT,1,8191,4514,65,56,3
random-32-32-20.map,24,220,PIBT,0,8843,4770,1000,56,19
random-32-32-20.map,24,230,PIBT,0,13535,4945,1000,56,21
random-32-32-20.map,24,240,PIBT,1,9999,5179,64,56,4
random-32-32-20.map,24,250,PIBT,0,17342,5367,1000,56,23
random-32-32-20.map,24,260,PIBT,0,17432,5590,1000,56,25
random-32-32-20.map,24,270,PIBT,0,20788,5788,1000,56,28
random-32-32-20.map,24,280,PIBT,0,22262,5995,1000,56,29
random-32-32-20.map,24,290,PIBT,0,21096,6213,1000,56,28
random-32-32-20.map,24,300,PIBT,0,27670,6450,1000,56,30
random-32-32-20.map,24,310,PIBT,0,22927,6712,1000,56,31
random-32-32-20.map,24,320,PIBT,0,32307,6917,1000,56,30
random-32-32-20.map,24,330,PIBT,0,28843,7162,1000,56,32
random-32-32-20.map,24,340,PIBT,0,44737,7395,1000,56,36
random-32-32-20.map,24,350,PIBT,0,47325,7570,1000,56,39
random-32-32-20.map,24,360,PIBT,0,46586,7770,1000,56,37
random-32-32-20.map,24,370,PIBT,0,59715,7945,1000,56,39
random-32-32-20.map,24,380,PIBT,0,61185,8192,1000,56,38
random-32-32-20.map,24,390,PIBT,0,50588,8441,1000,56,40
random-32-32-20.map,24,400,PIBT,0,70106,8704,1000,56,43
den520d.map,22,10,PIBT,1,1418,1415,260,260,3
den520d.map,22,20,PIBT,1,3214,3202,320,320,6
den520d.map,22,30,PIBT,1,5015,5009,320,320,10
den520d.map,22,40,PIBT,1,7297,7238,320,320,13
den520d.map,22,50,PIBT,1,8562,8478,320,320,16
den520d.map,22,60,PIBT,1,10517,10222,323,323,20
den520d.map,22,70,PIBT,1,12536,12360,376,376,21
den520d.map,22,80,PIBT,1,14500,14264,376,376,25
den520d.map,22,90,PIBT,1,15870,15586,376,376,28
den520d.map,22,100,PIBT,1,18273,17567,376,376,31
den520d.map,22,110,PIBT,1,20678,19646,376,376,37
den520d.map,22,120,PIBT,1,23103,21961,376,376,38
den520d.map,22,130,PIBT,1,24864,23520,376,376,46
den520d.map,22,140,PIBT,1,26792,25359,376,376,47
den520d.map,22,150,PIBT,1,28635,27347,376,376,49
den520d.map,22,160,PIBT,1,30737,29101,376,376,55
den520d.map,22,170,PIBT,1,32522,30774,376,376,57
den520d.map,22,180,PIBT,1,34117,32168,376,376,61
den520d.map,22,190,PIBT,1,35868,33353,376,376,62
den520d.map,22,200,PIBT,1,37571,35354,376,376,67
den520d.map,22,210,PIBT,1,39121,36582,376,376,72
den520d.map,22,220,PIBT,1,39756,37705,376,376,74
den520d.map,22,230,PIBT,1,41842,38837,376,376,75
den520d.map,22,240,PIBT,1,44002,40609,376,376,82
den520d.map,22,250,PIBT,1,45795,42745,376,376,83
den520d.map,22,260,PIBT,1,48144,44398,376,376,88
den520d.map,22,270,PIBT,1,49444,45950,376,376,91
den520d.map,22,280,PIBT,1,51334,47616,376,376,95
den520d.map,22,290,PIBT,1,53763,49136,376,376,97
den520d.map,22,300,PIBT,1,56320,51081,376,376,102
den520d.map,22,310,PIBT,1,57465,52682,376,376,106
den520d.map,22,320,PIBT,1,59739,54704,376,376,108
den520d.map,22,330,PIBT,1,61699,56746,376,376,111
den520d.map,22,340,PIBT,1,63829,58338,376,376,114
den520d.map,22,350,PIBT,1,65800,60482,376,376,118
den520d.map,22,360,PIBT,1,67636,62258,376,376,122
den520d.map,22,370,PIBT,1,69715,63533,376,376,123
den520d.map,22,380,PIBT,1,71263,65192,376,376,126
den520d.map,22,390,PIBT,1,74810,66773,376,376,129
den520d.map,22,400,PIBT,1,75829,68530,376,376,136
den520d.map,22,410,PIBT,1,77634,70170,376,376,138
den520d.map,22,420,PIBT,1,80070,72228,376,376,142
den520d.map,22,430,PIBT,1,80911,73438,376,376,146
den520d.map,22,440,PIBT,1,83277,75072,376,376,147
den520d.map,22,450,PIBT,1,85786,76597,376,376,151
den520d.map,22,460,PIBT,1,88322,78258,387,387,154
den520d.map,22,470,PIBT,1,90020,80036,396,396,157
den520d.map,22,480,PIBT,1,92437,81864,396,396,157
den520d.map,22,490,PIBT,1,94833,83870,396,396,169
den520d.map,22,500,PIBT,1,96758,85523,396,396,169
den520d.map,22,510,PIBT,1,99047,86998,396,396,173
den520d.map,22,520,PIBT,1,100615,88519,396,396,175
den520d.map,22,530,PIBT,1,102506,89997,396,396,181
den520d.map,22,540,PIBT,1,105440,91737,396,396,182
den520d.map,22,550,PIBT,1,107077,93456,396,396,186
den520d.map,22,560,PIBT,1,109692,94814,396,396,190
den520d.map,22,570,PIBT,1,111344,97044,396,396,191
den520d.map,22,580,PIBT,1,114421,98771,396,396,197
den520d.map,22,590,PIBT,1,115457,100114,396,396,197
den520d.map,22,600,PIBT,1,117346,101623,396,396,202
den520d.map,22,610,PIBT,1,120447,103605,396,396,204
den520d.map,22,620,PIBT,1,122693,105417,396,396,211
den520d.map,22,630,PIBT,1,125847,107350,396,396,212
den520d.map,22,640,PIBT,1,128028,109391,396,396,216
den520d.map,22,650,PIBT,1,129367,111195,396,396,221
den520d.map,22,660,PIBT,1,133253,113257,396,396,226
den520d.map,22,670,PIBT,1,134365,115015,396,396,224
den520d.map,22,680,PIBT,1,138069,117055,396,396,225
den520d.map,22,690,PIBT,1,140997,119043,396,396,232
den520d.map,22,700,PIBT,1,144774,120700,396,396,238
den520d.map,22,710,PIBT,1,146182,122932,396,396,241
den520d.map,22,720,PIBT,1,149020,124514,396,396,246
den520d.map,22,730,PIBT,1,150490,126371,396,396,249
den520d.map,22,740,PIBT,1,153364,127904,396,396,250
den520d.map,22,750,PIBT,1,155790,129381,396,396,257
den520d.map,22,760,PIBT,1,158540,130770,396,396,261
den520d.map,22,770,PIBT,1,161019,133238,396,396,264
den520d.map,22,780,PIBT,1,163760,134817,396,396,264
den520d.map,22,790,PIBT,1,165843,136640,396,396,271
den520d.map,22,800,PIBT,1,168561,138697,396,396,275
den520d.map,22,810,PIBT,1,170434,140344,396,396,278
den520d.map,22,820,PIBT,1,172696,142332,396,396,280
den520d.map,22,830,PIBT,1,177655,144290,396,396,287
den520d.map,22,840,PIBT,1,177777,145859,396,396,291
den520d.map,22,850,PIBT,1,181517,147509,396,396,295
den520d.map,22,860,PIBT,1,183115,149273,396,396,296
den520d.map,22,870,PIBT,1,185806,150993,396,396,297
den520d.map,22,880,PIBT,1,189080,152904,396,396,303
den520d.map,22,890,PIBT,1,191713,154432,396,396,305
den520d.map,22,900,PIBT,1,195888,156166,396,396,309
den520d.map,22,910,PIBT,1,194771,157390,396,396,311
den520d.map,22,920,PIBT,1,198681,159105,396,396,314
den520d.map,22,930,PIBT,1,200200,160174,396,396,317
den520d.map,22,940,PIBT,1,202085,162134,396,396,327
den520d.map,22,950,PIBT,1,205280,163678,396,396,328
den520d.map,22,960,PIBT,1,205592,165438,396,396,328
den520d.map,22,970,PIBT,1,210174,167526,396,396,330
den520d.map,22,980,PIBT,1,212774,169402,396,396,345
den520d.map,22,990,PIBT,1,215915,171497,396,396,343
den520d.map,22,1000,PIBT,1,219083,174079,403,396,350
den520d.map,16,10,PIBT,1,1809,1800,317,317,2
