map_name,scen_num,num_agents,solver,solved,soc,lb_soc,makespan,lb_makespan,comp_time
Berlin_1_256.map,1,10,PIBT,1,1188,1188,213,213,36
Berlin_1_256.map,1,20,PIBT,1,3027,3027,330,330,69
Berlin_1_256.map,1,30,PIBT,1,4903,4902,330,330,56
Berlin_1_256.map,1,40,PIBT,1,6686,6678,330,330,84
Berlin_1_256.map,1,50,PIBT,1,8219,8215,336,336,74
Berlin_1_256.map,1,60,PIBT,1,9904,9753,336,336,106
Berlin_1_256.map,1,70,PIBT,1,11732,11376,336,336,162
Berlin_1_256.map,1,80,PIBT,1,13737,13215,336,336,168
Berlin_1_256.map,1,90,PIBT,1,15467,14934,336,336,232
Berlin_1_256.map,1,100,PIBT,1,17115,16727,336,336,156
Berlin_1_256.map,1,110,PIBT,1,19242,18670,336,336,151
Berlin_1_256.map,1,120,PIBT,1,21301,20725,369,369,124
Berlin_1_256.map,1,10,HCA,1,1188,1188,213,213,35
Berlin_1_256.map,1,20,HCA,1,3027,3027,330,330,66
Berlin_1_256.map,1,30,HCA,1,4902,4902,330,330,77
Berlin_1_256.map,1,40,HCA,1,6678,6678,330,330,71
Berlin_1_256.map,1,130,PIBT,1,23715,23176,442,442,153
Berlin_1_256.map,1,140,PIBT,1,26285,25364,442,442,278
Berlin_1_256.map,1,150,PIBT,1,27644,26668,442,442,262
Berlin_1_256.map,1,160,PIBT,1,29689,28479,442,442,230
Berlin_1_256.map,1,170,PIBT,1,31525,30490,442,442,183
Berlin_1_256.map,1,180,PIBT,1,32861,31626,442,442,350
Berlin_1_256.map,1,190,PIBT,1,34986,33636,442,442,159
Berlin_1_256.map,1,200,PIBT,1,37183,35291,442,442,404
Berlin_1_256.map,1,50,HCA,1,8216,8215,336,336,77
Berlin_1_256.map,1,60,HCA,1,9754,9753,336,336,165
Berlin_1_256.map,1,70,HCA,1,11377,11376,336,336,121
Berlin_1_256.map,1,80,HCA,1,13216,13215,336,336,124
Berlin_1_256.map,1,210,PIBT,1,38641,37033,442,442,221
Berlin_1_256.map,1,220,PIBT,1,40607,38505,442,442,423
Berlin_1_256.map,1,230,PIBT,1,42065,40355,442,442,220
Berlin_1_256.map,1,240,PIBT,1,44351,42090,442,442,279
Berlin_1_256.map,1,290,PIBT,1,54282,51450,442,442,374
Berlin_1_256.map,1,300,PIBT,1,56768,53546,442,442,471
Berlin_1_256.map,1,310,PIBT,1,59087,55707,442,442,292
Berlin_1_256.map,1,320,PIBT,1,61235,57516,442,442,254
Berlin_1_256.map,1,90,HCA,1,14935,14934,336,336,205
Berlin_1_256.map,1,100,HCA,1,16732,16727,336,336,249
Berlin_1_256.map,1,110,HCA,1,18749,18670,336,336,184
Berlin_1_256.map,1,120,HCA,1,20804,20725,369,369,297
Berlin_1_256.map,1,250,PIBT,1,46282,43913,442,442,548
Berlin_1_256.map,1,260,PIBT,1,49019,46307,442,442,411
Berlin_1_256.map,1,270,PIBT,1,50944,48233,442,442,401
Berlin_1_256.map,1,280,PIBT,1,52664,49810,442,442,418
Berlin_1_256.map,1,130,HCA,1,23256,23176,442,442,358
Berlin_1_256.map,1,140,HCA,1,25445,25364,442,442,277
Berlin_1_256.map,1,150,HCA,1,26749,26668,442,442,286
Berlin_1_256.map,1,160,HCA,1,28564,28479,442,442,394
Berlin_1_256.map,1,490,PIBT,1,94418,86843,445,442,504
Berlin_1_256.map,1,500,PIBT,1,97247,88354,442,442,594
Berlin_1_256.map,1,510,PIBT,1,98254,89754,442,442,551
Berlin_1_256.map,1,520,PIBT,1,101384,91513,442,442,515
Berlin_1_256.map,1,370,PIBT,1,70931,66423,442,442,747
Berlin_1_256.map,1,380,PIBT,1,73338,68354,442,442,432
Berlin_1_256.map,1,390,PIBT,1,75441,69913,445,442,776
Berlin_1_256.map,1,400,PIBT,1,76851,71482,445,442,419
Berlin_1_256.map,1,330,PIBT,1,62452,58979,442,442,733
Berlin_1_256.map,1,340,PIBT,1,65011,60887,442,442,668
Berlin_1_256.map,1,350,PIBT,1,66905,62732,442,442,633
Berlin_1_256.map,1,360,PIBT,1,69231,64624,443,442,389
Berlin_1_256.map,1,170,HCA,1,30599,30490,442,442,310
Berlin_1_256.map,1,180,HCA,1,31748,31626,442,442,304
Berlin_1_256.map,1,190,HCA,1,33800,33636,442,442,537
Berlin_1_256.map,1,200,HCA,1,35462,35291,442,442,340
Berlin_1_256.map,1,450,PIBT,1,86014,79803,442,442,944
Berlin_1_256.map,1,460,PIBT,1,88024,81277,442,442,712
Berlin_1_256.map,1,470,PIBT,1,90585,83253,442,442,549
Berlin_1_256.map,1,480,PIBT,1,92810,84956,442,442,580
Berlin_1_256.map,1,210,HCA,1,37212,37033,442,442,442
Berlin_1_256.map,1,220,HCA,1,38689,38505,442,442,395
Berlin_1_256.map,1,230,HCA,1,40553,40355,442,442,427
Berlin_1_256.map,1,240,HCA,1,42293,42090,442,442,466
Berlin_1_256.map,1,610,PIBT,1,120315,108264,442,442,643
Berlin_1_256.map,1,620,PIBT,1,122100,109842,442,442,666
Berlin_1_256.map,1,630,PIBT,1,125530,111796,442,442,694
Berlin_1_256.map,1,640,PIBT,1,127222,113706,442,442,732
Berlin_1_256.map,1,410,PIBT,1,79185,73488,442,442,718
Berlin_1_256.map,1,420,PIBT,1,80864,75207,442,442,839
