map_name,scen_num,num_agents,solver,solved,soc,lb_soc,makespan,lb_makespan,comp_time
brc202d.map,1,10,PIBT,1,3181,3181,924,924,46
brc202d.map,1,20,PIBT,1,7634,7625,924,924,80
brc202d.map,1,30,PIBT,1,12012,11788,924,924,110
brc202d.map,1,40,PIBT,1,16810,16234,924,924,98
brc202d.map,1,50,PIBT,1,22875,21726,924,924,126
brc202d.map,1,60,PIBT,1,26207,25018,924,924,151
brc202d.map,1,70,PIBT,1,30630,29359,924,924,130
brc202d.map,1,80,PIBT,1,34386,33008,924,924,186
brc202d.map,1,90,PIBT,1,39550,37193,1017,1017,358
brc202d.map,1,100,PIBT,1,45111,42493,1017,1017,147
brc202d.map,1,110,PIBT,1,48700,46151,1017,1017,112
brc202d.map,1,120,PIBT,1,55508,52203,1040,1040,133
brc202d.map,1,130,PIBT,1,60331,56192,1040,1040,234
brc202d.map,1,140,PIBT,1,63647,58653,1040,1040,157
brc202d.map,1,150,PIBT,1,69750,63797,1040,1040,155
brc202d.map,1,160,PIBT,1,76689,70432,1040,1040,169
brc202d.map,1,170,PIBT,1,81569,75598,1040,1040,414
brc202d.map,1,180,PIBT,1,84473,78267,1040,1040,171
brc202d.map,1,190,PIBT,1,88668,80582,1040,1040,256
brc202d.map,1,200,PIBT,1,93468,85080,1040,1040,378
brc202d.map,1,210,PIBT,1,97440,88551,1040,1040,316
brc202d.map,1,220,PIBT,1,103029,93038,1040,1040,301
brc202d.map,1,230,PIBT,1,107706,97065,1040,1040,250
brc202d.map,1,240,PIBT,1,113449,101578,1040,1040,290
brc202d.map,1,10,HCA,1,3181,3181,924,924,217
brc202d.map,1,20,HCA,1,7625,7625,924,924,228
brc202d.map,1,30,HCA,1,11794,11788,924,924,289
brc202d.map,1,40,HCA,1,16249,16234,924,924,354
brc202d.map,1,290,PIBT,1,137965,123716,1040,1040,431
brc202d.map,1,300,PIBT,1,142290,127055,1040,1040,294
brc202d.map,1,310,PIBT,1,147430,130504,1040,1040,387
brc202d.map,1,320,PIBT,1,152124,134984,1040,1040,353
brc202d.map,1,250,PIBT,1,116445,104859,1040,1040,359
brc202d.map,1,260,PIBT,1,120734,109586,1040,1040,550
brc202d.map,1,270,PIBT,1,126017,113873,1040,1040,501
brc202d.map,1,280,PIBT,1,132148,118785,1040,1040,333
brc202d.map,1,330,PIBT,1,156515,139423,1040,1040,401
brc202d.map,1,340,PIBT,1,161962,143034,1040,1040,445
brc202d.map,1,350,PIBT,1,167322,148556,1040,1040,355
brc202d.map,1,360,PIBT,1,172692,153714,1040,1040,582
brc202d.map,1,370,PIBT,1,176206,156806,1040,1040,513
brc202d.map,1,380,PIBT,1,181778,161275,1040,1040,465
brc202d.map,1,390,PIBT,1,186941,164808,1040,1040,424
brc202d.map,1,400,PIBT,1,193176,170938,1040,1040,382
brc202d.map,1,50,HCA,1,21744,21726,924,924,335
brc202d.map,1,60,HCA,1,25040,25018,924,924,376
brc202d.map,1,70,HCA,1,29385,29359,924,924,465
brc202d.map,1,80,HCA,1,33066,33008,924,924,484
brc202d.map,1,410,PIBT,1,198593,175209,1059,1059,523
brc202d.map,1,420,PIBT,1,205547,181348,1059,1059,431
brc202d.map,1,430,PIBT,1,211194,185396,1059,1059,506
brc202d.map,1,440,PIBT,1,217325,189871,1059,1059,798
brc202d.map,1,450,PIBT,1,222895,194027,1059,1059,782
brc202d.map,1,460,PIBT,1,228468,198524,1059,1059,523
brc202d.map,1,470,PIBT,1,236888,201445,1059,1059,535
brc202d.map,1,480,PIBT,1,242333,206965,1059,1059,568
brc202d.map,1,490,PIBT,1,246790,211311,1059,1059,804
brc202d.map,1,500,PIBT,1,250720,215288,1059,1059,571
brc202d.map,1,510,PIBT,1,256439,218125,1059,1059,523
brc202d.map,1,520,PIBT,1,259993,222118,1059,1059,602
brc202d.map,1,90,HCA,1,37589,37193,1017,1017,656
brc202d.map,1,100,HCA,1,43074,42493,1017,1017,706
brc202d.map,1,110,HCA,1,46748,46151,1017,1017,743
brc202d.map,1,120,HCA,1,53239,52203,1040,1040,744
brc202d.map,1,610,PIBT,1,304208,258064,1059,1059,738
brc202d.map,1,620,PIBT,1,310696,262305,1059,1059,739
brc202d.map,1,630,PIBT,1,314729,266602,1059,1059,736
brc202d.map,1,640,PIBT,1,320796,270762,1059,1059,685
brc202d.map,1,530,PIBT,1,263815,226124,1059,1059,1055
brc202d.map,1,540,PIBT,1,269263,229778,1059,1059,647
brc202d.map,1,550,PIBT,1,273244,233717,1059,1059,735
brc202d.map,1,560,PIBT,1,278294,236096,1059,1059,876
brc202d.map,1,570,PIBT,1,283637,240295,1059,1059,640
brc202d.map,1,580,PIBT,1,288070,244522,1059,1059,901
brc202d.map,1,590,PIBT,1,295777,249560,1059,1059,978
brc202d.map,1,600,PIBT,1,300303,253237,1059,1059,719
brc202d.map,1,650,PIBT,1,330649,275297,1059,1059,867
brc202d.map,1,660,PIBT,1,334290,279610,1059,1059,706
brc202d.map,1,670,PIBT,1,341343,283959,1059,1059,841
brc202d.map,1,680,PIBT,1,343785,287089,1059,1059,719
brc202d.map,1,730,PIBT,1,374332,307628,1059,1059,1085
brc202d.map,1,740,PIBT,1,378975,311110,1059,1059,1040
brc202d.map,1,750,PIBT,1,382845,315803,1059,1059,783
brc202d.map,1,760,PIBT,1,390715,319324,1059,1059,818
brc202d.map,1,130,HCA,1,57671,56192,1040,1040,856
brc202d.map,1,140,HCA,1,60143,58653,1040,1040,928
brc202d.map,1,150,HCA,1,65300,63797,1040,1040,1062
brc202d.map,1,160,HCA,1,71957,70432,1040,1040,1093
brc202d.map,1,690,PIBT,1,351463,292086,1059,1059,1233
brc202d.map,1,700,PIBT,1,360703,296445,1059,1059,1018
brc202d.map,1,710,PIBT,1,363922,300002,1059,1059,765
brc202d.map,1,720,PIBT,1,371551,303154,1059,1059,982
brc202d.map,1,770,PIBT,1,394516,324322,1059,1059,1081
brc202d.map,1,780,PIBT,1,405649,330099,1059,1059,800
